;ID;NOMBRE ESTACIÓN;LATITUD;LONGITUD;;;
92;11148;EL OBRAJE-GTO;20.66777778;-100.61;;;
93;11149;PARACUARO-GTO;20.11055556;-100.7286111;;;
94;11150;SAN JOSE EL ALTO-GTO;20.70944444;-101.2541667;;;
95;11151;TACUBAYA-GTO;20.30555556;-101.7794444;;;
96;11153;LA LABORCITA-GTO;21.105;-101.5591667;;;
97;11155;CORRAL DE PIEDRAS-GTO;20.97472222;-100.5930556;;;
98;11156;EL DORMIDO-GTO;20.12722222;-101.0169444;;;
99;11157;PEÑUELAS-GTO;20.88083333;-101.8641667;;;
100;11158;PIÑICUARO-GTO;20.04888889;-101.2372222;;;
101;11159;PRESA EL BARRIAL-GTO;21.04861111;-101.8472222;;;
102;11160;SAN ISIDRO-GTO;20.57777778;-101.5422222;;;
103;11161;EL VERGEL-GTO;21.45;-100.6608333;;;
104;11162;COMANJILLA-GTO;21.06833333;-101.4744444;;;
105;11165;CHICHIMEQUILLAS-GTO;21.04194444;-101.4405556;;;
106;11166;EL GIGANTE-GTO;19.9725;-100.4575;;;
107;11167;SAN J. P. DE ARRIBA-GTO;20.99722222;-100.3897222;;;
108;11168;SAN JUAN TEMASCATIO-GTO;20.89777778;-100.7286111;;;
109;11169;TRES GUERRAS-GTO;20.51555556;-100.6777778;;;
